Fold.IL.6.HSA	Fold.IL.6.UL	Fold.IL.6.Naive	Fold.IL.6.Nickel	Fold.Naive.Nickel	Fold HSA/Naive
24.23	16.32	22.41	-0.2	-0.96578188	-0.072134574
24.18	14.11	12.24	1.64	-0.80064106	-0.474205749
24.04	23.7	17.99	1.16	-0.886303546	-0.241539327
24	19.29	16.38	0.55	-0.9108457	-0.304917666
23.9	17.46	14.42	0.36	-0.911597126	-0.380754676
23.74	14.1	21.32	-0.5	-0.977419989	-0.097686374
23.65	17.49	20.38	1.22	-0.896296765	-0.132563552
23.62	18.64	16.52	2.63	-0.79302298	-0.288688141
23.62	20.26	16.83	-0.26	-0.958307591	-0.275604922
23.56	16.79	21.17	0.06	-0.952397219	-0.097481919
23.4	19.9	18.58	1.03	-0.896102632	-0.19768759
23.31	19.82	18.84	1.72	-0.862979985	-0.183657314
23.31	18.43	18.13	-0.65	-0.981611748	-0.212734195
23.26	13.12	10.06	0.18	-0.892916234	-0.543967404
23.23	20.22	16.59	1.32	-0.867910079	-0.274012173
23.05	17.03	16.45	-0.34	-0.961985588	-0.274476782
23.02	14.67	16	-0.62	-0.977803028	-0.292473236
22.86	9.84	16.53	-0.24	-0.956568151	-0.26538476
22.83	13.46	18.63	-0.19	-0.958634819	-0.176476109
22.79	14.65	21.2	0.1	-0.950547804	-0.066881819
22.75	18.49	19.21	0.62	-0.9196602	-0.14925088
22.72	15.51	16.03	-0.4	-0.96452117	-0.282036188
22.62	12.07	14.66	-0.56	-0.971782162	-0.337094234
22.55	17.16	15.69	-0.57	-0.974194947	-0.291423169
22.55	13.79	18.58	-0.34	-0.966423058	-0.168797983
22.51	21.57	12.7	1.07	-0.848556375	-0.417422802
22.47	12.72	17.7	-0.09	-0.951467252	-0.203096536
22.44	17.34	13.51	1.38	-0.836041281	-0.381136206
22.43	17.74	16.78	1.5	-0.859266772	-0.241097506
22.41	16.92	16.84	0.57	-0.912229599	-0.238226571
22.39	12.91	17.24	-0.08	-0.949401318	-0.220095059
22.38	16.42	14.71	2.26	-0.792539394	-0.327776058
22.31	16.33	19.92	-0.28	-0.965582089	-0.102254363
22.26	9.91	20.39	0.85	-0.913306237	-0.080242196
22.22	16.65	16.59	-0.23	-0.95623239	-0.242537375
22.19	14.9	15.15	-0.12	-0.945763374	-0.303633579
22.02	28.01	16.51	1.81	-0.839619889	-0.239166613
22.01	11.76	10.53	-0.5	-0.956548765	-0.49890172
21.87	10.96	13.34	-0.6	-0.971774419	-0.372758919
21.83	13.85	15.24	0.19	-0.926629676	-0.288614775
21.83	13.33	15.33	0.66	-0.898658837	-0.284625338
21.81	15.95	11.44	-0.12	-0.929200826	-0.454746605
21.8	22.13	10.33	1.24	-0.802292283	-0.503222778
21.77	15.61	19.14	1.2	-0.890542743	-0.115716553
21.7	22.14	14.34	1.22	-0.855282204	-0.324384702
21.69	12.23	16.09	-0.01	-0.942117583	-0.246710989
21.68	18.12	18.24	0.08	-0.94407437	-0.151929801
21.66	12.74	16.76	1.4	-0.864765066	-0.216173347
21.62	13.58	15.62	1.76	-0.833843429	-0.265044114
21.56	9.78	15.54	-0.13	-0.947274921	-0.266913243
21.55	16.55	12.43	1.59	-0.807338105	-0.404236533
21.54	14.39	13.7	1.63	-0.821065086	-0.348071408
21.52	22.6	18.04	0.18	-0.937780955	-0.154521883
21.49	19.4	9.27	0.13	-0.890324791	-0.543500408
21.45	20.3	15.21	1.49	-0.84613896	-0.278160114
21.43	13.59	19.73	0.07	-0.948427087	-0.075873114
21.38	20.26	18.83	-0.28	-0.963727291	-0.113661712
21.35	18.82	15	-0.11	-0.944188108	-0.284065531
21.34	14.13	17.24	-0.12	-0.951965559	-0.183412484
21.33	17.66	15.04	0.05	-0.934768754	-0.281555047
21.26	17.37	18.62	0.59	-0.918736679	-0.118570045
21.24	21.81	17.16	-0.23	-0.95786026	-0.183441514
21.2	12.01	16.68	-0.23	-0.956274961	-0.20322152
21.19	17.8	14.47	-0.34	-0.957072732	-0.302558351
21.17	15.57	18.05	-0.58	-0.978091775	-0.140756568
21.14	11.22	17.77	-0.26	-0.960613864	-0.152440672
21.05	11.55	13.36	-0.35	-0.954833258	-0.349055235
20.99	15.76	17.46	0.52	-0.917586376	-0.160695128
20.98	10.65	14.71	-0.52	-0.969460852	-0.285491611
20.91	18.37	17.15	0.85	-0.898263999	-0.171544509
20.88	24.79	17.32	-0.6	-0.978105297	-0.162590367
20.74	14.81	17.18	1.15	-0.88150807	-0.163749061
20.74	15.46	20.01	-0.26	-0.96500996	-0.033331685
20.72	20.58	14.75	2.2	-0.797133234	-0.274895634
20.69	16.36	19.18	-0.57	-0.978458669	-0.069959502
20.66	19.57	15.92	1.25	-0.866697137	-0.219233757
20.64	23.15	15.5	0.7	-0.896870577	-0.237732774
20.62	17.07	13.66	1.65	-0.819035178	-0.321864208
20.58	17.12	19.01	1.43	-0.878570897	-0.072640275
20.54	14.25	17.38	1.88	-0.843332388	-0.146919292
