Time (sec),500 nM IL-6,750 nM IL-6,1 uM IL-6,500 nM HSA,750 nM HSA,1 uM HSA
219,0.415733333,0.648781667,0.889065833,0.06351,0.150519167,-0.081913333
222,0.415393333,0.6440325,0.888105,0.060543333,0.151538333,-0.0819625
225,0.414783333,0.642041667,0.888784167,0.06036,0.152535,-0.080833333
228,0.41335,0.641410833,0.888233333,0.058533333,0.152365833,-0.0801
231,0.413713333,0.638628333,0.88758,0.057153333,0.15305,-0.080045
234,0.413903333,0.6360975,0.8868075,0.05523,0.155168333,-0.079790833
237,0.411953333,0.633213333,0.887053333,0.052846667,0.155105,-0.078174167
240,0.411,0.631445833,0.886679167,0.049233333,0.155230833,-0.077158333
243,0.408556667,0.628405833,0.885839167,0.048113333,0.1566275,-0.075988333
246,0.407403333,0.624973333,0.886209167,0.045546667,0.158090833,-0.073604167
249,0.406646667,0.624190833,0.887331667,0.044136667,0.158988333,-0.072751667
252,0.406103333,0.62343,0.889589167,0.042716667,0.158535,-0.07131
255,0.406006667,0.62211,0.889569167,0.03972,0.160639167,-0.070173333
258,0.405906667,0.620793333,0.889504167,0.03741,0.162033333,-0.067448333
261,0.404733333,0.619091667,0.889779167,0.035886667,0.163215833,-0.064259167
264,0.404173333,0.616864167,0.889343333,0.03427,0.1636075,-0.0628475
267,0.403346667,0.6152175,0.8889525,0.033713333,0.165044167,-0.05989
270,0.402246667,0.613715,0.888085,0.03498,0.166599167,-0.05622
273,0.401723333,0.6143525,0.888980833,0.03283,0.167651667,-0.05265
276,0.4009,0.61373,0.889004167,0.033113333,0.168795,-0.049995
279,0.400936667,0.613515833,0.889711667,0.033166667,0.170723333,-0.045964167
282,0.40007,0.61347,0.888418333,0.033886667,0.1719925,-0.04166
285,0.39867,0.613249167,0.889648333,0.035783333,0.171390833,-0.037308333
288,0.398093333,0.611595833,0.89032,0.037376667,0.173415,-0.033145833
291,0.398093333,0.609311667,0.890096667,0.038316667,0.174573333,-0.029445
294,0.396516667,0.608663333,0.890689167,0.04087,0.176039167,-0.024545833
